Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
Lucky Stake,Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9,255161.94210,1.605,89.04%,96.47%,N
Vnode,3r5ZXC1yFqMmk8VwDdUJbEdPmZ8KZvEkzd5ThEYRetTk,251877.12534,1.705,86.59%,97.29%,N
InfStones,37BPVW1Ne1XHrzK15xguAS2BTdobVfThDzTE2mv8SsnJ,250983.30782,1.831,82.04%,99.25%,N
Drift,DriFTm3wM9ugxhCA1K3wVQMSdC4Dv4LNmyZMmZiuHRpp,250695.73058,1.470,92.60%,98.95%,N
nordstar ⭐ reliable staking +MEV,NoRDTy8jpkpjPR7yxahVdoEUPngbojPhFU5jb8TtY4m,247856.14690,1.878,82.92%,93.43%,N
Aronogarago,DySC6eaUthvVVzu4s8GFupm4PzYLNvq372AYnNrKP4xP,247604.77380,2.153,76.90%,83.50%,N
polkachu.com,voEskim7SFWrPx1tV2PVisqyrJejxmDEARX11mtZ5vo,246034.71862,2.022,78.31%,87.21%,N
MCF,2het6nBRLq9LLZER8fqUEk7j5pbLxq2mVGqSse2nS3tf,245689.59577,2.439,83.10%,90.82%,N
0% Fee 🐱 Theta,CV7uvPY1Hk5Avb2NvkGJoUzGnipZrEZK27j5rQJoUae9,245569.51602,2.171,73.78%,88.05%,N
Dependable Solana Validator +MEV,EKUh585fWD7LeDRHgmYd9EXpQnY6KNbNAhyBi3FuVw6Y,244644.19611,1.545,90.57%,98.98%,N
L0vd 0% fee +MEV,A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg,244051.18942,2.120,73.63%,96.17%,N
SGTstake - 0% Fee,GuxBSrv5jnSwwPepkqnmkM7YCBSakKanbnw4BKMdda4j,242157.29440,1.488,91.70%,99.20%,N
Aurora Validator,34yvUa2fxfm2tUqxFEj9PHrVNwCcdzd51eo9hntWpZRs,241710.09527,1.675,86.25%,99.64%,N
ARCHER 0% commission + MEV,DUCKsGEPEdNv9QeskPNwoJdWgAXjxUFrkNDEKjAnLWyY,240601.01211,1.521,90.85%,99.06%,N
OHara Nodes,3zEbnWKibg574DaGC1EA3zLNwBK6MGQxEySUgQWKBaYV,239873.02482,1.699,90.86%,98.48%,N
GRASSETS-TECH 🚀 - 0% commission,2g2QU1NDRax6i2mKzRwgRfdBFoDkMC6bj7Zp5Q3i8sCq,239822.36335,1.429,92.96%,99.63%,N
GateOmega MEV+ | SolCircl Mobile App,9Gko8QZBbV5SrEvHKtQHcMrGGSfgFP3KJUozEGifu25x,239589.40742,2.117,73.60%,95.36%,N
Solana Ukraine 🇺🇦,HcbE5huUVDgsf7SURsRfQqnFMp3Zz3i49eXMddugPyAP,237733.47026,1.472,91.96%,99.42%,N
StakeITeasy🚀High APY + 0% fee✅ + MEV🔥,vahVByZszdHguLa7U7GLz8UdUFN85mcwdkefiqVjtGt,235483.50173,1.684,87.94%,96.51%,N
alex_s1,Cc7UtVq4G25VbC3w6Ccs2XL2xikjc926q1sHp8zfddoL,234438.02952,1.689,87.95%,95.77%,N
Fitsu,GNajgJGjkdnmZTRGZzsQ4P4eL54gHRMfDDLyZpnZYmUy,233987.36708,1.559,90.43%,98.33%,N
