Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
,HSjWikZVP8JmNUa1VqZuQuhQzkK4WrBmiJn1VVEtvuZQ,31482.53001,1.653,88.59%,95.76%,N
chucky18,H97b7WujYu1qRLdngfSWVxsXpasMoTaCfRbNx3qvu3ev,31481.93316,1.837,83.64%,93.56%,N
Dimh4wk,ACyyUk2AF8XCkyjVKL6kMxUHqaud5wrXo44jawohn3qT,31481.26588,2.357,79.44%,86.60%,N
,F6ui6Rz6cCKBtyrSBqnNY5RzTzENdjFFpTJZYw47GD31,31480.86982,2.123,85.51%,93.19%,N
AnMay,s4VEVydfBor1CyCDXJNNQXzFFPnt9UFwuhM59NXjotH,31480.86415,1.736,86.95%,94.65%,N
,4NhuurEJimA7Y3heUb9ejnGbUXKsCws3RsbHLCL6FxXx,31480.78682,1.780,87.29%,94.52%,N
,8S9tun2N71Q9VmTsyf8oWgf8wWsLF6YVKQEpsTmsnBfD,31479.67503,1.927,82.80%,91.68%,N
,7xBb5NxfSGGP4KuWvTY4iKNfXC7hMWmxm86eZfs6vAJN,31479.42978,1.834,86.64%,94.49%,N
,GuPnsaM3j4ojKe2KJpcaAWNmhk5n2kaJxc8ZKkowdxrw,31479.29940,2.072,87.58%,95.45%,N
StakeRocket,G5dZZ3J95jER4v7N5LBg73ybxfg9RxFBpVc3LAY57UPu,31479.14029,1.532,91.89%,99.72%,N
jLbey J.O.S.S.,DKnZkpsqtS4kpFP5zWudrg8w9eCUHixJ2QCRtwwxh8Me,31477.94991,1.425,93.50%,99.74%,N
Julianna,D1BYFpbZuwUtgNT7CeuQFQjyhEQbm9Z6XP8R7cfeWed1,31477.33731,1.702,87.29%,99.46%,N
,8b3JPQtHbw8MBJQNwUDVXC6xfaL26UNx6WA3GShGy5Vw,31477.13951,1.751,86.50%,98.81%,N
Valis Tech,DD7NQUKUex26GEsM8jpcx36MoGykbdUHJ3LbcD6Lzrfn,31476.89099,1.855,86.44%,93.18%,N
Lightning strike,FLocyJ8N1BynUs9MPMVbGYEbH2GMxsdacsbXb4N3S5cq,31476.68290,1.789,82.94%,99.64%,N
,JEJ9KC1aQgcYigTG386mkS85J3EGVPkKib1Xi1otypWJ,31475.35185,1.828,86.48%,94.40%,N
Mon D Aventures 🍀,8o3tfZcpTizxtxphuBCXNDxnVX7pFNwpNBLmHyf2Dbvx,31475.29106,1.716,86.92%,97.05%,N
BitQi,7kmTFq434qDsbuCbJgDsAtih8AurPfUk8u6kc5bJb5Zb,31475.19262,1.703,87.20%,97.16%,N
Avokado,sAESK3Gda4FqBXvbj1XfwLL3ZMzhuW8NikgXJvPYV88,31475.13784,1.693,87.47%,97.51%,N
Konomic,EDjoFJLunZhjS7difXbi1DvLPPdFenf7YvTFoa9y5pCZ,31474.96321,1.695,87.40%,97.34%,N
Top Miner,H4UcftxDC72MW4WYcXuyYmfSQMo9hDXpkGBxycBMVbEi,31474.95427,1.698,87.28%,97.29%,N
Husky,Bjq4FbzK9aA9bQ7nYd5eGjTtiMyB8yFLVomgr8Wow4hK,31474.90853,1.697,87.36%,97.46%,N
Blue Shark,6KNVY2ijdADSy9F6qoSVr9FYKrDoZcBkQdZXkZDLcei7,31474.70559,1.754,86.27%,96.26%,N
Transaction,CraRZ3Pk5mJC2sfGXGH2rFRYjr8LPVz2gLowNbujcND3,31474.57244,1.727,86.70%,96.79%,N
Satoshkin,97DsFuV8H6RiFXSXds1k4RscrLPbbDnxG2CW7wDwqrZn,31474.46254,1.729,86.57%,96.72%,N
Green Validator,Ez5oqa7UBJosiUZ3YbXsjGfnZAdcGE7awrkRmcCWY3yB,31474.34396,1.716,86.94%,97.12%,N
Ferrari_M,A3sMR7KhVkjheCiaNbDSTAMzgiyRE3Ewm2n26C7iav7y,31472.93095,1.846,85.94%,94.43%,N
,7uPvNKF16Cv3QJghZWp9aANGaF3GVbn6XB5RuFZcQwqv,31472.61288,2.148,81.52%,91.92%,N
PolyWitch,6B4Cu11nC7reP3F3wgKVtrHKALH6nFi6io9TXyYijweB,31472.54880,1.551,93.29%,99.34%,N
Skarlett,DkFMfnJku9arJJtUytBXijUyb8tuX5FQvsTUVUQQ9pgX,31472.51187,1.696,87.38%,97.28%,N
TdrSys,5CBkJdDPMWCmss3Y48B36w78Bgxur4mDib6tQ9yMKe1B,31471.40682,1.781,86.21%,94.75%,N
,jUP5hCf2fGJEz8F2j2gACezxFYCNE9zo1eTMsRQjRK9,31471.29378,2.317,82.50%,91.65%,N
paulg,HoaDnzBq8UMyS3mPC9k83shv5YvQARh7Muz4KWJMfqPo,31471.26406,1.550,89.91%,99.18%,N
Cryptoded,BG2FGmUyQo9RuGk48ypy9sa8LDJRx6j61tt64eGuAztG,31471.20586,1.895,82.36%,92.27%,N
Starfish,3S5Pw4wiwvF3B5pXQVzraiFUF2iQUDnowZDTCXBmE33k,31471.13203,1.705,87.18%,97.24%,N
GameValues,8UZnAPPeYMbxju37MDR3it9nTutGhK9F1hKDxZikygfN,31471.08437,1.714,86.93%,97.00%,N
Dear Dream,4DBehwe4U1gHaE575LZVnjN1MfyPSyWjidadRJoQcyAR,31471.03701,1.768,85.64%,95.79%,N
Lemanpay,9a7VQpVNCwBKEiADAr4EHW52CTesXnDDfnPvvp7qRFyP,31470.92864,1.702,87.26%,97.38%,N
Utopia,2WgrQTu8QitYjqywZ6uBZBFWigMdXjR6trzd6SYNwihU,31470.86591,1.710,86.98%,97.01%,N
,4ZxDeRyvhXi7Bc23qPFkeZptzE8J54eimL8phVPN5AXa,31470.53477,1.865,84.61%,99.46%,N
MiningLove,9RkA9F2YB6UtTFaFS8oP3sSMXKyKcoQUbvDEft9ttpfb,31469.33585,1.696,87.39%,97.41%,N
Crypto Evangelist,7PrwBc81z19peAGLjjq3Bt4uLtRonRrwR963gxJE8i18,31469.33019,1.700,87.25%,97.16%,N
Rich Validator,BkQJo4j8V6Xhi8p39B76GhF3csWzUz9C6VMz5Dn4bmKb,31469.32314,1.704,87.15%,97.22%,N
SOL STAKE 0% FEE+MEV 🚀,H5oqciP46Ls3mJZu334niaKMcVWjsC7JKULLCZHxT8hr,31469.31956,1.548,92.83%,98.88%,N
,9uCHWHPT9xwrhUX9AnK7zm38pC1qc4Q3pS2zi5HRRCZZ,31469.02156,1.522,91.38%,99.15%,N
GetHash | MEV,57SfBPYR4n47Mb6EKW3yAu5tYicUi8bYbui1T4qZ7RYh,31467.84679,1.531,91.10%,98.90%,N
Cherry,5nscM8QPTf6ggikeRrAuWTa5mEBumXJuWZZBk3uN1auQ,31467.78263,1.689,88.01%,97.84%,N
,GbRQmLLZFwc6Y2T6LWeKAj4jYRUA216kp2qrVrpT9avM,31467.18742,1.620,90.67%,99.03%,N
,7VKJjStSELiuK9PRQzQmQCGgy627sGSRSJhCVobMLVqL,31467.15533,1.591,90.93%,99.07%,N
SoLiD,SoLiDFg9qMi7tFEo4tiLxEVE7mteRyGZkBHJn2YYyjP,31467.06088,1.671,88.17%,96.38%,N
mSOL,8WVqaMTGPKsVSFBBPgm1vHRvSzTZYhJStQhUva1jtg78,31466.61986,1.859,86.04%,93.75%,N
,9CJCtwxXQvnSTiTWvyWJgXqpJL8oGedtUft89X5eLHQL,31466.45070,2.488,76.69%,85.06%,N
Nozomi,3zH61eoL7aL626arSqKEbfsx2kPb6P3WFU9ERUWciPSq,31466.00639,1.876,82.46%,94.12%,N
,7xRrCC88etyrLveU2PAGdSYyB6iL4krUnfyHbvbHjkEk,31464.79664,1.743,83.74%,99.66%,N
,9SFU2TfJmGB2jq8NHc5Kiaph6BGje7MDJRu7joQ7ZqWV,31464.61168,2.293,82.42%,97.88%,N
,9SGUxCqs4fpRCRuVKyfqoZxkBSSXgH37ca6XfyLsK31F,31464.47892,2.045,81.85%,92.39%,N
,6K5veuKeVeXXnJQVm9NPytNX3ZAbUoGWePyC83ymRUCh,31464.45414,1.601,90.85%,99.06%,N
,34nZYTMHzQcrWFQ7v47t34B7AzSbJgwLVehaZxTRPQwn,31462.89470,1.908,82.21%,94.84%,N
ArtVaut | 🚀 Launch your stake 🌐,46aWpTtjQaTRL81dWXg19H5V2Jf2rg1Cy3hzr76vJDSf,31462.84088,2.379,83.99%,91.33%,N
,BzFtHeFSLDDEWeGN4UbRNLCtdeaicHWsxRjCTvxUnJtw,31462.75131,1.888,82.17%,94.41%,N
Icebreaker,8qPCNWqVehF1Sc7YgUKUr7DUZtt514WHF71Wah8ZTkgR,31462.62306,1.728,88.13%,95.82%,N
,DDhFhvdVrS7nQ81KLKHaoHskQ6EiVFxowqXokXJJrMi6,31462.58360,1.678,91.64%,99.54%,N
Ttk69 MMS,sRMFc8dQFS5QU8j4LoRavfg3pPQu8EXX8L8EwchedNS,31462.53136,1.664,91.11%,99.47%,N
GENA,C4UD55ynixANA7brHZTyBwPN2uL3YYRwn2d1x3TgShvi,31462.51285,2.290,85.22%,95.72%,N
spaceNode🌐,DfWrf3vVkqkMQA8vYoJ8mVBHd6tTHjkVBPJ84CyTAybo,31462.31819,1.516,91.41%,99.28%,N
topstaker,GtieaErmxgFVySoaxcN3RP3m6kcmpWGqknZ3peXkaRPC,31462.01945,1.952,86.53%,97.33%,N
,5vZqGaxGdjhrAVqScWxLiy67ze2PqgMzyNVJcagMvPaQ,31460.91697,1.562,91.85%,99.20%,N
,7PGx3h8ZYb8A2TXh8fvLDPg5dJ9dmxxfA1xoDQCd1m49,31460.73986,1.712,89.91%,98.14%,N
☄️ The Mandalorian ☄️,42XzJdJvr1qE7zdEnPQhV5PsN9eyAcR45SWpTrifW1JB,31459.92885,1.583,89.04%,99.59%,N
Shelby,3AUwBLVUfGG9j2VNreUxbrLf7NP7jjBymVmoebcz8L9D,31459.48389,1.516,91.65%,99.75%,N
,J1r9rLo71mG7eTpX1jiYi7vyLE3QMZ4PCBXYJJfXYsp6,31459.18075,1.587,91.09%,99.31%,N
SolChampion 🏆 validator,B191sdbDFjEmLLNixWEfjsoxoYLbr5hnpT39KKoqgkUp,31458.71798,1.728,88.77%,97.03%,N
ArcKat,8nQB9R48S3SXXDTvffTs4HNR2Bf2YdbXMHFcRGXCsVG6,31458.67427,1.667,89.63%,98.77%,N
MCMaster,8b9afBA43fSDH2GHMFWVgz64Bsi5k96MDkrjPx8esePg,31458.60022,1.695,87.40%,97.28%,N
Monessy,2uuSBFp7gLzBBA9w1u3ZfHd3ZrXypctbuRheH2EBgcpn,31458.59072,1.700,87.35%,97.39%,N
HyperBeast,B8NFTRJDovY5DHA3HXHXC76rhafYM11gVasbsACzEAs1,31458.58926,1.740,86.39%,96.42%,N
Crypto BoyS,g73uD1jYARir7KJBmS94KN5XjasoZwcxAgCrS59LyBG,31458.54158,1.713,87.01%,97.14%,N
Smart Community,AJmRAtaMf646abDoNBK18ghFTwR3ocnQjRCttrQkzFET,31458.53985,1.724,86.64%,96.83%,N
,AvDxkBtVZgauCHTMLMUMFCG2GfnsN9zv2qXbrgAoWUmA,31458.45900,1.727,87.10%,95.02%,N
2hub,Dcd4JMKNuAzoSbV48FmpmdiA1iPZ1FpZp4QPjBXdrNj1,31457.42974,1.758,86.12%,94.89%,N
Extrime Money,APLFy3sMEaUVXfoUVKLVSqPyWsgKens5iS3JCWjWUtVX,31457.28038,1.692,87.58%,97.51%,N
CashLove,72Ag5dggfQFknHXABYnG172r2vtepa5ugiZDJCmKnx4X,31457.27677,1.726,86.63%,96.66%,N
viki_miki,FqhGYvSrTwEnJv4VHJZx1oEtd5fewYcdi2CPsbKnSYhy,31457.25935,1.451,93.23%,99.55%,N
SolanaReg,GV2i2sTn835Ktvkvq3ANLxbujPjfMCnzKjiH3JWUYDix,31457.22756,1.699,87.28%,97.21%,N
eska,3aHzcWLrkY2QrcDSR3bMbFWURRJWFojxh3o8wbEghXZ9,31457.20302,1.455,93.04%,99.37%,N
ttbtc,3w5guZWHiP1A1gSnhksgtTXejAYUnTQqWvXWd9BfSdUL,31457.13214,1.499,92.31%,99.11%,N
Crypto Champion,bhWgxLuBivaKiUgywT7JXsNhMgF8C6Pjg3j7jFKs58E,31456.76056,1.716,86.88%,97.14%,N
,CUoE2FDBKfmPsEN5NSH8xToXcybbJrbNaBHKdpYgNaQB,31456.72936,1.917,88.87%,97.20%,N
Darvin,4CaonBV9LeqJ2oGhTdbNMWKFcHMbLmCnpCyvrRZtLkz3,31456.70894,1.449,93.04%,99.11%,N
PeSSo'l,97im1Mxgn8FFcwhoVoqgGc7QegAokpQS2sxzrPVggKA3,31456.58577,2.014,86.70%,94.09%,N
1Gnod,ABA59L7zGDUYDjDPpP7yQ1DxLfXoFfjJJ5MRnBQNs87k,31455.91076,1.935,91.33%,97.34%,N
StakePoint,26KEYanAp9hccSFaKPaYKzt6r5Sg7gZN99zD2khDKZch,31455.87929,1.648,88.42%,96.18%,N
Cryptopia,4vggdLQRGJYvBkgbVh6kEWhyBzua1yYVpZKh4GeiLo6w,31455.53601,1.749,86.32%,94.53%,N
CuBe-M,DyDjFYB6i51FMHQvB4eKSwGHmgMxVf1i3FWwANAngqyY,31455.41209,1.696,87.83%,97.54%,N
AsT@FuR,J1iPFXVJrvx4DuGvgUJeBicnvxTkroisx2Lbeo2Q4aA2,31455.23827,1.696,89.84%,97.28%,N
ZenithScape IO,GioetmC79nLRnN7VDfHaq8coWAEFPJKu9py59uUqdV5U,31454.79769,2.181,77.83%,83.48%,N
HassettNode,EQahA1H9zQDGTHzt5uGq1YXoiFSaYU8WxjtfCCGjUAv1,31454.67493,1.694,93.19%,99.32%,N
zazoley,ErqEyaojEmRu8bhJz74mJy5MgQcyLN1rCQ5frrusAb8A,31454.55523,1.758,84.69%,97.86%,N
Apex Lasting Earners,4qdXKJc1hQcwBVx4hdPFCG6p7fEXKbgp5P1HkcZn9Atc,31454.47711,1.916,81.08%,91.83%,N
funny,71mmEPyitXLyMeZBTd2YU6NahVSYwgJaK2DRMHvb4HUC,31454.22182,2.350,88.37%,98.05%,N
,9rQxLv247GeCxmmfESBMSygX6fBxzniKec4kv35Gx4J6,31453.10792,1.541,91.45%,99.13%,N
,8xihirHNzLTCGtEyRTH77q7WzAWE8yxtD1ciQJ5j3HQX,31453.07823,1.894,86.18%,94.25%,N
WhiteList,EV4FXbtXSMKuBKG4hUeWNhaTQTEknYMXKxNry864mVdp,31453.06709,1.695,87.46%,97.49%,N
Guava | grow ur wealth,FCjVa6gBiKjvacMqWGGMqJ5kiQh1kFcyeAcNyKMyCxzK,31452.80208,2.171,84.48%,91.68%,N
Igor Gusarov,9yn8kRqgtYsAV5Pg2YTmu3PCmnm4yXFE3cRGZ2G6WFho,31452.44074,1.875,83.62%,90.81%,N
Solard,76j8TGM73QzGLd2KATNsCwewPVESCkVpkePQdm5PwQXT,31452.41918,2.119,85.28%,94.01%,N
,GYRsheZ78JMfMNETuAZNrs6L1U3GsHP5crzzLPeETDYm,31451.36321,1.514,91.13%,97.95%,N
CyberVillage,FwLsjPJdnSiuCvs1NXyR1cV6Sw5GRE6Lj2s1gZ9NNTmv,31451.34532,1.885,85.32%,92.06%,N
,9hpbRMs6SCsVVWTeL52DPhc4FEyeN7BQvJ8xXH3F9G8e,31451.13023,1.738,88.41%,96.18%,N
A4 Finance,GGKZN9R2aGaW3rBA1HyzSUJESjNccpEfUQtQNZG2z9Dr,31450.95943,1.693,87.43%,97.32%,N
Bearded Validaᛏᛟᚱ,VMP1iN9D34jQo1GFvJs87SWQxvs2eL1VEkT3aEU7nEG,31450.89275,2.057,74.86%,98.02%,N
,26MXTErkUfxTGJ78WKjNtVSTXHBrZEPYFY3oeuGeewz5,31450.83965,2.002,82.32%,93.32%,N
,C9t4MQD7GGidZvdy9AV8Nwmnoou1jZEa7ZsEZnw5BncX,31449.39097,2.062,81.99%,92.75%,N
FAN2,FGcFu8thUEhvnsKmPBT7D2Nzgeef7fpnXsWtM3WgDv3f,31449.25905,1.803,82.44%,97.77%,N
,61bUK8nWjw4SeDyFARVc1B67gXWwX5Gykfdfi4dMgCYz,31449.04202,1.517,91.85%,99.60%,N
,5VocRSwT6cqSTB8qcJ8CsSmHCmGNnohXySHWWQRfmv3a,31448.94040,2.119,74.24%,93.52%,N
F,SoLdWNZvT8f9293cELNBcPL3XLzsKCyG4AFmvqwXbmq,31448.89909,1.978,80.63%,90.79%,N
,89jnaTMuq5aXUkmpLbykRNaU16i7Du6QywqqPeCPT1Dy,31448.89576,2.124,73.79%,94.71%,N
,DF65vydoevPj8q4LouGebBFnzETHfkioHfHgLHBFk71G,31448.88436,1.468,92.45%,99.65%,N
,3fntToRUTyDpSoLF1QMZgpF5HoDcSmvBisXoyKASMaaH,31448.85809,2.146,74.07%,91.15%,N
[PoN] USUCH +MEV!,ADoWVeGQscFzTue51tMtFiLWiTTYYnkQryQFN9VzoRxL,31448.84431,1.695,88.99%,97.71%,N
Sila Systems,siLaRwjLu35b9uRkwz1aiToUGyjoy4JTTgHMBDj3924,31448.78811,1.450,92.73%,99.40%,N
,BGhFJPWxDdr8ATxFYEBifgRaZXta2nZ16oav2pdwiBck,31448.64305,1.884,82.85%,95.93%,N
NOVY,2b3UDcHQ8J4wLcCGjjh3f155Csoz24hrM4saG2r1Cydx,31448.57915,2.087,74.75%,97.17%,N
maikrotik,FsMucSM7B5y5PtehabtQJjDrGmKcMEtwvt1TpSjDrcZW,31447.91064,1.567,90.77%,98.39%,N
in_extremo,9nyiCpH8tfzSDXWP5BX5u5Fyi7Mz1DcMPp5a7aUhDybE,31446.99825,1.949,80.79%,91.91%,N
Mari,8drPe3FbV8SjsU8S415vtjarTnW9XR9TGaXbhAdWRUWp,31446.85817,2.352,87.32%,95.14%,N
,4FCCbZyS2Za1RpAk1uw3Ewa25B1BmuybipvUpBzR6RpB,31446.83591,1.571,89.79%,97.30%,N
,9QAWHKhWuwAYc6vZhGarcai9WeFeZNeBJTNfMbNTbKQ9,31446.80659,1.789,87.73%,95.51%,N
,DU7Xi2JhP5UFUZaLgPkne2VkQueJdts7YosdHyYcJ7bE,31446.80214,1.758,88.34%,95.99%,N
Golden Man,DNK1bxnRtsg3Xvif2wHbPsVjAJvoP2EQmwsTxtQbjAmh,31446.70895,1.612,92.77%,98.70%,N
,Cc6B7VmLhvqoBghrPwKTkZScC1fcXB15zkSGVBM6pTSS,31446.39811,1.595,90.55%,98.71%,N
Sol Team 0% fee + MEV,7zFvisPXq7xCFoSAL4oxZhRpDonmf8NxQFuLNGW4UYFh,31445.13810,1.435,92.87%,99.31%,N
Crypto MrBell 🔔,DQRqi1v2un5eSoWxCkheGyVvcxm5LiMnxmSRUXazdGVX,31442.19646,1.519,91.32%,98.29%,N
Sec3,EnRcbgr5r7EUS2P35szncy6TW6eWA9UQiU3yQRCDbh2P,31441.45104,2.036,79.59%,86.63%,N
Smurfik,7YzmMGQhrE7VaTiDFnb7R633gquLEKmSpwkXG6u64fhj,31441.06604,1.597,89.80%,97.22%,N
QueenSol 👸 | + MEV 💎,B1u3QSjYXHhiD4iWo6t3MwbSnRXjtsguMYZjYGXu3FZK,31440.53049,2.164,75.47%,80.76%,N
,5bjKPhoQDcpPVeMhu83SEtXqXA9vw62k7KhL9zpsK31b,31438.32798,1.686,88.26%,95.38%,N
Veterano,8NGHra5ExC6zy2dBXc92MwDTrDCtmJXZaGRMRihar5SP,31437.74665,1.529,91.99%,98.42%,N
,taiVRnba6XSryVXnDGvUTm2xJNuFiZV5VijE3442SZ8,31437.12526,2.090,75.76%,91.66%,N
,1M5USfamd1N4i1z6UZeECrWeu2VfrxjYMBSXThu6TqB,31428.43023,1.672,88.45%,95.56%,N
,DzCirYWNsCECVHgSaMVg1mqMzKwtGuN2Pqm2a4HqVpTE,31427.61270,2.087,90.19%,96.11%,N
Reveleum,Fm3YevqrrvwKWEAJVmypyja8JZnanYudvx2ZXV4RogX9,31424.86594,1.507,90.79%,99.65%,N
,EPrq1DvsWqX9CHBKgMU7gxvNvPbqRLhbqz2QzHcPFzab,31413.67922,2.307,87.08%,94.37%,N
Plastilina,4KAmS9X8tGJPPzDdwT9Fa9F1y3GZEoacGhMqJ6zstUXN,31410.00447,2.173,91.03%,98.62%,N
Ponch2024,8sHMgX4GyEByphQm8b8ESKJhSpveSMrnwh4Y4pt8t8FD,31408.88473,2.140,87.53%,97.10%,N
borsh,E7SeJHDuThghiqzyq5WRP67zGr4JzLCQYqeAeHKc8vwM,31408.05122,1.967,80.40%,90.97%,N
Capybara,E8SMqsquNDQQPPunKkKCrMcDayNXKYzKaX5e7hswcPVj,31402.64123,1.770,84.39%,98.97%,N
,2eZwQcDuomrzfuj3kc1p3EqoSKwaBUWqqADeagv7PcbB,31399.92607,2.036,85.83%,93.67%,N
alzak,GyGjudkJs6Ss6Vu1U8rGSFVLPQsXsqiM8F5yY43Uegda,31394.64042,1.664,91.69%,98.36%,N
Monkey Kingdom,62AZkVfjLRXmNtW3guA2nsXv7MmzQsCWmscwkFzwts1k,31394.63007,2.694,78.18%,95.98%,N
FA,DrCcHpAWj8a4JU99QKtwfCynzdhgQeuieAY9WadZD5Ry,31392.64143,1.655,87.86%,99.35%,N
AnanaStake,EijMpL5u45wg1ZTJZa4i7DvUsn8um8s5woVJsNmvCpTP,31391.39956,1.938,84.97%,95.02%,N
linap,7fARjzLYPH77jVBPyUfptJGbi4aXfN4FAfs8W89BWZDC,31390.58781,1.763,88.09%,95.49%,N
,EcZBjDPzSZLdsyKCBq26MZMYFfiinZsfcL3SwWMK1eNL,31367.44724,2.153,81.23%,89.66%,N
,6h8UDnJb4Rw7j5ZnszWPE5qKdCmQpXSpbfndzHbzjJ1Q,31366.65840,1.967,82.56%,90.87%,N
,EbWmbjxUrq8uifB4gCJLaxv7joYmsXL4qVpX26xYMFBh,31366.56024,2.204,83.72%,95.89%,N
,Dp9gpMr68ZG6gKi1ByGq1oACwWrmRe7cvBWBHhRbdHxr,31366.53487,2.375,79.54%,94.25%,N
,7y4wStv8XxUkuBgwNkidfxdy1V6TMYr4UjaTDwcS3MUr,31366.10126,2.366,80.28%,89.07%,N
WestSide 🖖,7miZ2ZoXwS3YDzBRCbWcEtNVyuxk8WbbcyQwq7i5btvZ,31362.39745,1.775,82.77%,99.64%,N
P-OPS Team,HLM6hyDWrEca9QMS92nDBa2AreU1qDkppttPVuJ7E2CU,31254.65695,1.912,79.79%,88.27%,N
blockconsens.us,AZUYzQX7nrbN1iE25YsSCSZAywZcyr1C1anMnwZtaqX9,31201.58423,1.812,83.32%,96.65%,N
LuCKyC-MaiN,A9igcq5tcmPjg8gy3soDnrmCMwXT3pmeFx3oojFjTfwc,31131.60575,1.653,88.32%,96.24%,N
SMCvalidator,DpZLBTc94PHUQLEsGh3mjRF2U9etouZbSVyAS5aqFrom,31126.57313,2.184,76.91%,92.44%,N
,BwCHr5RNd3ZYqQoZS383FwFn8cbNHiHkqkbmqgKbXBkw,31115.97167,1.747,87.42%,95.13%,N
Blockson,D7rALJCR3KUMhTwtmjvk4ursBLbDNvAVRf2FwdQtbVF9,31112.55846,1.681,87.75%,97.66%,N
,mStRhdPx1gCC8aTteWrEzqxLyjsn7nqh2LqsCZ2Bihr,31107.12613,1.429,93.12%,99.74%,N
,A5dLWA1kcZZSEjrphF814Da7PW98gz72eG9EPTR4wuqb,31101.45697,1.888,84.12%,92.35%,N
bulldojkee,D7ZCDE1PHe8duMjNpxwHrYbrRzcnsS7p4nD2daLzWwtr,31086.97744,1.831,83.89%,93.47%,N
,6AdK8MMRrUUN7nn7SPkbiu1FjyL5mJpX8sPAhg3r2JWN,31085.03346,1.698,87.56%,95.28%,N
TomNamNan,D5tsrjN9suzT6cbeqZjoPB7KNMKj9vfcAuK3V65hwk74,30914.66104,1.566,89.73%,97.42%,N
jdr,3ucuV6s4F3jvhvMrx9hz69abis2Q6P14aDxpdtP65kCc,30863.47163,2.060,79.23%,85.74%,N
,BCVbQ44TgcDeuAEdpcdUMjy5qGKSxaeUovBqXqWNPNVh,30862.31792,2.074,84.82%,91.85%,N
,DXv73X82WCjVMsqDszK3z764tTJMU3nPXyCU3UktudBG,30862.15167,1.791,85.90%,94.30%,N
IceFrosTv2,7jp9iA5QF4VJrV1YZ47FqFDziuZALp9wJSWRLWBa4Lg7,30832.19476,1.943,84.39%,98.62%,N
,46Acpa1Md9k2Nxkr7Xp7eDRbzNt4AGXPGyzZ4fnJ7z8y,30831.28757,1.881,84.31%,92.79%,N
,9ZPYFXWnVTjzDUMMJNKzfqCNJaC1SEyRSHtSytAd5meS,30830.84295,2.234,85.49%,93.92%,N
CapitalMagnate,CTQjcSEuAN8Hs5SJ2F9rTJbJAAKxY5cyCXLzRSiD4JPr,30828.36663,1.989,78.66%,95.43%,N
Fairy Land,3z4NrwnS72RkSmnZ89MNr3GMxga1WWjjW7qGArg8wCng,30826.67337,2.141,73.70%,85.93%,N
Mors,13Yq17i7dGknpzHB4L77QB1AMcfAvkE1c3D1MKJnj8zT,30818.92009,1.649,91.83%,98.49%,N
,GjZdDp7emowSgB21XaV9BCcStSBjypDPA3bZtc1494DU,30816.24466,2.292,84.61%,93.12%,N
,6H2opQ2ebr3B6PPnjVFoMQK8pFiJhjb6AqWTjAYGqLYH,30809.54477,2.185,86.09%,94.68%,N
Magnum SK,AShjuYEE1bTBar9HGJehw3FgzibJuVwuP846guzbjRPM,30486.42221,1.801,91.18%,97.07%,N
,GakAanHMN4dYY8rMKL1e6uUKjNJj2nN2sENFaxzdMEBm,30421.04942,2.204,74.38%,84.64%,N
2007x Top 🚀 Validator,6fiUHL6s3iGgp19H7PfbEuJGgu4LQsWMu625fya16xgb,29946.26016,1.865,83.02%,93.46%,N
CoinDataFlow,34oGkjDsb6mRwSbvw9xZDtR9URfVpRnYjvwZecUZUsHF,29771.99033,1.693,89.47%,98.51%,N
Urb4n_Thr34t,Hr3z7PxvnZ7Wa5HnKoRkBcHU65imwqtKHQPQ7tE8Y5a2,29764.18854,1.983,80.02%,90.00%,N
,6JpwHChay7q9meZVBhGp4wBvTGy7L28XsCzwLhGF875r,29757.60398,1.886,84.53%,98.17%,N
Moondefi,5WF1VwByGfW31Nmk1xcfz9k5YyZLskX4659JXyAA3rpb,29754.88284,1.764,92.46%,99.03%,N
,7ZJHBz4SzQw1GDQZRaCMLvo7uoUo7cY1BUioA7mdfD65,29753.75556,1.983,84.07%,98.06%,N
Blossom,89DXJe6XTDASsmyXJoPyRetLq1csRj9N2Bwn67fNvYGt,29743.21279,1.778,86.27%,93.45%,N
,137MRxQWHC47fFiT1F6vDsTBzEuZJb9SwTt2rm3nHLYM,29657.26246,1.925,84.14%,98.11%,N
SolX +Mev,SzNm2zDpK3eJmSYR21pRaQ5b4wQ37ecds6det5YCZFP,29544.50585,1.360,95.24%,98.98%,N
ChainLayer,8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp,28682.11435,1.871,81.52%,88.65%,N
jjwoods,EXYEG9LAhC2AP9FYGGUhjJDTKfCU57S1Mi3Zp28cV6CU,28561.36707,1.590,93.39%,98.79%,N
DeezNode,6F4gdYb1sqHGMeFaeEcqt8N6S2anHre2BkZM7QWo8r6N,28463.14380,1.860,83.46%,92.04%,N
SHINOBI,HTz9TJBmyuT7YEFVYTGHdsnTgt4bzkgq1Gv2Zx688FP7,28182.72541,1.750,86.45%,94.54%,N
SonarWatch,sw222BfVDABppvydacSCj3JVaPSC83RoRtyvLmr6pNx,27405.31187,1.541,90.62%,98.13%,N
,AWDiZEPxJizd3f7NxiJijUqHt2NDViGN5CWzzeN5Uoeh,26776.33691,1.832,83.46%,96.01%,N
,3VTepuwgRA9nyw2JESdnqrb5cqFZS3vD3R4TuuV2wGHA,26747.46899,2.682,78.02%,84.66%,N
